year,state,state_po,district,party,candidatevotes,totalvotes
2016,Florida,FL,21,republican,118038,335861
2016,Florida,FL,21,democrat,210606,335861
2016,Florida,FL,22,republican,138737,337850
2016,Florida,FL,22,democrat,199113,337850
2016,Florida,FL,23,democrat,183225,323120
2016,Florida,FL,23,republican,130818,323120
2016,Florida,FL,24,democrat,1,1
2016,Florida,FL,25,democrat,95319,253240
2016,Florida,FL,25,republican,157921,253240
2016,Florida,FL,26,republican,148547,280542
2016,Florida,FL,26,democrat,115493,280542
2016,Florida,FL,27,republican,157917,287677
2016,Florida,FL,27,democrat,129760,287677
2016,Georgia,GA,1,republican,210243,211112
2016,Georgia,GA,2,democrat,148543,242599
2016,Georgia,GA,2,republican,94056,242599
2016,Georgia,GA,3,democrat,95969,303187
2016,Georgia,GA,3,republican,207218,303187
2016,Georgia,GA,4,democrat,220146,290739
2016,Georgia,GA,4,republican,70593,290739
2016,Georgia,GA,5,republican,46768,300549
2016,Georgia,GA,5,democrat,253781,300549
2016,Georgia,GA,6,democrat,124917,326005
2016,Georgia,GA,6,republican,201088,326005
2016,Georgia,GA,7,democrat,114220,288301
2016,Georgia,GA,7,republican,174081,288301
2016,Georgia,GA,8,republican,173983,257208
2016,Georgia,GA,8,democrat,83225,257208
2016,Georgia,GA,9,republican,256535,256535
2016,Georgia,GA,10,republican,243725,244821
2016,Georgia,GA,11,republican,217935,323318
2016,Georgia,GA,11,democrat,105383,323318
2016,Georgia,GA,12,republican,159492,258912
2016,Georgia,GA,12,democrat,99420,258912
2016,Georgia,GA,13,democrat,252833,252833
2016,Georgia,GA,14,republican,216743,216743
2016,Hawaii,HI,1,democrat,145417,213531
2016,Hawaii,HI,1,republican,45958,213531
2016,Hawaii,HI,2,republican,39668,224133
2016,Hawaii,HI,2,democrat,170848,224133
2016,Idaho,ID,1,republican,242252,355357
2016,Idaho,ID,1,democrat,113052,355357
2016,Idaho,ID,2,republican,205292,326237
2016,Idaho,ID,2,democrat,95940,326237
2016,Illinois,IL,1,democrat,234037,315862
2016,Illinois,IL,1,republican,81817,315862
2016,Illinois,IL,2,republican,59471,294522
2016,Illinois,IL,2,democrat,235051,294522
2016,Illinois,IL,3,democrat,225320,225411
2016,Illinois,IL,4,democrat,171297,171297
2016,Illinois,IL,5,republican,86222,313724
2016,Illinois,IL,5,democrat,212842,313724
2016,Illinois,IL,6,republican,208555,352146
2016,Illinois,IL,6,democrat,143591,352146
2016,Illinois,IL,7,republican,46882,297466
2016,Illinois,IL,7,democrat,250584,297466
2016,Illinois,IL,8,democrat,144954,248571
2016,Illinois,IL,8,republican,103617,248571
2016,Illinois,IL,9,republican,109550,326948
2016,Illinois,IL,9,democrat,217306,326948
2016,Illinois,IL,10,democrat,150435,285996
2016,Illinois,IL,10,republican,135535,285996
2016,Illinois,IL,11,republican,108995,275573
2016,Illinois,IL,11,democrat,166578,275573
2016,Illinois,IL,12,democrat,124246,313002
2016,Illinois,IL,12,republican,169976,313002
2016,Illinois,IL,13,democrat,126811,314394
2016,Illinois,IL,13,republican,187583,314394
2016,Illinois,IL,14,democrat,137589,338097
2016,Illinois,IL,14,republican,200508,338097
2016,Illinois,IL,15,republican,274554,274554
2016,Illinois,IL,16,republican,259722,259853
2016,Illinois,IL,17,republican,113943,287068
2016,Illinois,IL,17,democrat,173125,287068
2016,Illinois,IL,18,republican,250506,347283
2016,Illinois,IL,18,democrat,96770,347283
2016,Indiana,IN,1,democrat,207515,254583
2016,Indiana,IN,2,democrat,102401,277357
2016,Indiana,IN,2,republican,164355,277357
2016,Indiana,IN,3,democrat,66023,287247
2016,Indiana,IN,3,republican,201396,287247
2016,Indiana,IN,4,democrat,91256,299434
2016,Indiana,IN,4,republican,193412,299434
2016,Indiana,IN,5,democrat,123849,361135
2016,Indiana,IN,5,republican,221957,361135
2016,Indiana,IN,6,democrat,79135,296385
2016,Indiana,IN,6,republican,204920,296385
2016,Indiana,IN,7,republican,94456,264670
2016,Indiana,IN,7,democrat,158739,264670
2016,Indiana,IN,8,republican,187702,294713
2016,Indiana,IN,8,democrat,93356,294713
2016,Indiana,IN,9,democrat,130627,322843
2016,Indiana,IN,9,republican,174791,322843
2016,Iowa,IA,1,democrat,177403,384977
2016,Iowa,IA,1,republican,206903,384977
2016,Iowa,IA,2,republican,170933,370032
2016,Iowa,IA,2,democrat,198571,370032
2016,Iowa,IA,3,republican,208598,390287
2016,Iowa,IA,3,democrat,155002,390287
2016,Iowa,IA,4,republican,226719,370259
2016,Iowa,IA,4,democrat,142993,370259
2016,Kansas,KS,1,republican,169992,257971
2016,Kansas,KS,2,democrat,96840,297401
2016,Kansas,KS,2,republican,181228,297401
2016,Kansas,KS,3,republican,176022,343113
2016,Kansas,KS,3,democrat,139300,343113
2016,Kansas,KS,4,republican,166998,275251
2016,Kansas,KS,4,democrat,81495,275251
2016,Kentucky,KY,1,democrat,81710,299001
2016,Kentucky,KY,1,republican,216959,299001
2016,Kentucky,KY,2,republican,251825,251825
2016,Kentucky,KY,3,democrat,212401,334494
2016,Kentucky,KY,3,republican,122093,334494
2016,Kentucky,KY,4,democrat,94065,327987
2016,Kentucky,KY,4,republican,233922,327987
2016,Kentucky,KY,5,republican,221242,221242
2016,Kentucky,KY,6,democrat,128728,330827
2016,Kentucky,KY,6,republican,202099,330827
2016,Louisiana,LA,1,democrat,41840,326788
2016,Louisiana,LA,1,republican,243645,326788
2016,Louisiana,LA,1,democrat,9237,326788
2016,Louisiana,LA,1,democrat,12708,326788
2016,Louisiana,LA,2,democrat,198289,284269
2016,Louisiana,LA,2,democrat,28855,284269
2016,Louisiana,LA,2,democrat,57125,284269
2016,Louisiana,LA,3,republican,25662,282443
2016,Louisiana,LA,3,republican,1357,282443
2016,Louisiana,LA,3,republican,6223,282443
2016,Louisiana,LA,3,republican,2457,282443
2016,Louisiana,LA,3,democrat,27830,282443
2016,Louisiana,LA,3,republican,60762,282443
2016,Louisiana,LA,3,republican,77671,282443
2016,Louisiana,LA,3,democrat,28385,282443
2016,Louisiana,LA,3,republican,21607,282443
2016,Louisiana,LA,3,republican,24882,282443
2016,Louisiana,LA,4,republican,50412,268761
2016,Louisiana,LA,4,republican,13220,268761
2016,Louisiana,LA,4,democrat,46579,268761
2016,Louisiana,LA,4,republican,44521,268761
2016,Louisiana,LA,4,republican,21017,268761
2016,Louisiana,LA,4,republican,87370,268761
2016,Louisiana,LA,5,republican,208545,255662
2016,Louisiana,LA,5,republican,47117,255662
2016,Louisiana,LA,6,republican,33592,331098
2016,Louisiana,LA,6,democrat,29822,331098
2016,Louisiana,LA,6,democrat,49380,331098
2016,Louisiana,LA,6,republican,207483,331098
2016,Maine,ME,1,republican,164569,406942
2016,Maine,ME,1,democrat,227546,406942
2016,Maine,ME,2,democrat,159081,364886
2016,Maine,ME,2,republican,192878,364886
2016,Maryland,MD,1,democrat,103622,362097
2016,Maryland,MD,1,republican,242574,362097
2016,Maryland,MD,2,democrat,192183,309480
2016,Maryland,MD,2,republican,102577,309480
2016,Maryland,MD,3,republican,115048,339675
2016,Maryland,MD,3,democrat,214640,339675
2016,Maryland,MD,4,republican,68670,320650
2016,Maryland,MD,4,democrat,237501,320650
2016,Maryland,MD,5,democrat,242989,360634
2016,Maryland,MD,5,republican,105931,360634
2016,Maryland,MD,6,republican,133081,331973
2016,Maryland,MD,6,democrat,185770,331973
2016,Maryland,MD,7,democrat,238838,318912
2016,Maryland,MD,7,republican,69556,318912
2016,Maryland,MD,8,republican,124651,364324
2016,Maryland,MD,8,democrat,220657,364324
2016,Massachusetts,MA,1,democrat,235803,349676
2016,Massachusetts,MA,2,democrat,275487,363197
2016,Massachusetts,MA,3,republican,107519,360124
2016,Massachusetts,MA,3,democrat,236713,360124
2016,Massachusetts,MA,4,republican,113055,395304
2016,Massachusetts,MA,4,democrat,265823,395304
2016,Massachusetts,MA,5,democrat,285606,385455
2016,Massachusetts,MA,6,democrat,308923,415749
2016,Massachusetts,MA,7,democrat,253354,309645
2016,Massachusetts,MA,8,republican,102744,396009
2016,Massachusetts,MA,8,democrat,271019,396009
2016,Massachusetts,MA,9,republican,127803,403642
2016,Massachusetts,MA,9,democrat,211790,403642
2016,Michigan,MI,1,democrat,144334,360271
2016,Michigan,MI,1,republican,197777,360271
2016,Michigan,MI,2,democrat,110391,339328
2016,Michigan,MI,2,republican,212508,339328
2016,Michigan,MI,3,republican,203545,342365
2016,Michigan,MI,3,democrat,128400,342365
2016,Michigan,MI,4,republican,194572,315751
2016,Michigan,MI,4,democrat,101277,315751
2016,Michigan,MI,5,republican,112102,319291
2016,Michigan,MI,5,democrat,195279,319291
2016,Michigan,MI,6,democrat,119980,329565
2016,Michigan,MI,6,republican,193259,329565
2016,Michigan,MI,7,republican,184321,334807
2016,Michigan,MI,7,democrat,134010,334807
2016,Michigan,MI,8,republican,205629,366968
2016,Michigan,MI,8,democrat,143791,366968
2016,Michigan,MI,9,democrat,199661,344775
2016,Michigan,MI,9,republican,128937,344775
2016,Michigan,MI,10,democrat,110112,340983
2016,Michigan,MI,10,republican,215132,340983
2016,Michigan,MI,11,democrat,152461,379488
2016,Michigan,MI,11,republican,200872,379488
2016,Michigan,MI,12,democrat,211378,328542
2016,Michigan,MI,12,republican,96104,328542
2016,Michigan,MI,13,republican,40541,257797
2016,Michigan,MI,13,democrat,198771,257797
2016,Michigan,MI,14,republican,58103,310974
2016,Michigan,MI,14,democrat,244135,310974
2016,Minnesota,MN,1,republican,166524,335873
2016,Minnesota,MN,1,democrat,169071,335873
2016,Minnesota,MN,2,republican,173970,370515
2016,Minnesota,MN,2,democratic-farmer-labor,167315,370515
2016,Minnesota,MN,3,republican,223075,393457
2016,Minnesota,MN,3,democratic-farmer-labor,169238,393457
2016,Minnesota,MN,4,republican,121033,351945
2016,Minnesota,MN,4,democrat,203299,351945
2016,Minnesota,MN,5,republican,80660,361875
2016,Minnesota,MN,5,democrat,249957,361875
2016,Minnesota,MN,6,democratic-farmer-labor,123010,358930
2016,Minnesota,MN,6,republican,235385,358930
2016,Minnesota,MN,7,republican,156944,330823
2016,Minnesota,MN,7,democrat,173572,330823
2016,Minnesota,MN,8,democrat,179097,356971
2016,Minnesota,MN,8,republican,177088,356971
2016,Mississippi,MS,1,democrat,83947,300423
2016,Mississippi,MS,1,republican,206455,300423
2016,Mississippi,MS,2,republican,83542,286626
2016,Mississippi,MS,2,democrat,192343,286626
2016,Mississippi,MS,3,republican,209490,316445
2016,Mississippi,MS,3,democrat,96101,316445
2016,Mississippi,MS,4,democrat,77505,278779
2016,Mississippi,MS,4,republican,181323,278779
2016,Missouri,MO,1,republican,62714,314024
2016,Missouri,MO,1,democrat,236993,314024
2016,Missouri,MO,2,republican,241954,413296
2016,Missouri,MO,2,democrat,155689,413296
2016,Missouri,MO,3,democrat,102891,368333
2016,Missouri,MO,3,republican,249865,368333
2016,Missouri,MO,4,democrat,92510,332234
2016,Missouri,MO,4,republican,225348,332234
2016,Missouri,MO,5,republican,123771,324270
2016,Missouri,MO,5,democrat,190766,324270
2016,Missouri,MO,6,republican,238388,350444
2016,Missouri,MO,6,democrat,99692,350444
2016,Missouri,MO,7,republican,228692,338607
2016,Missouri,MO,7,democrat,92756,338607
2016,Missouri,MO,8,republican,229792,308871
2016,Missouri,MO,8,democrat,70009,308871
2016,Montana,MT,0,democrat,205919,507831
2016,Montana,MT,0,republican,285358,507831
2016,Nebraska,NE,1,democrat,83467,273238
2016,Nebraska,NE,1,republican,189771,273238
2016,Nebraska,NE,2,republican,141066,288308
2016,Nebraska,NE,2,democrat,137602,288308
2016,Nebraska,NE,3,republican,226720,226720
2016,Nevada,NV,1,democrat,116537,188352
2016,Nevada,NV,1,republican,54174,188352
2016,Nevada,NV,2,democrat,115722,313336
2016,Nevada,NV,2,republican,182676,313336
2016,Nevada,NV,3,republican,142926,310963
2016,Nevada,NV,3,democrat,146869,310963
2016,Nevada,NV,4,republican,118328,265846
2016,Nevada,NV,4,democrat,128985,265846
2016,New Hampshire,NH,1,democrat,162080,365984
2016,New Hampshire,NH,1,republican,157176,365984
2016,New Hampshire,NH,2,republican,158825,350509
2016,New Hampshire,NH,2,democrat,174371,350509
2016,New Jersey,NJ,1,democrat,183231,305473
2016,New Jersey,NJ,1,republican,112388,305473
2016,New Jersey,NJ,2,republican,176338,297795
2016,New Jersey,NJ,2,democrat,110838,297795
2016,New Jersey,NJ,3,democrat,127526,328060
2016,New Jersey,NJ,3,republican,194596,328060
2016,New Jersey,NJ,4,democrat,111532,332684
2016,New Jersey,NJ,4,republican,211992,332684
2016,New Jersey,NJ,5,republican,157690,337701
2016,New Jersey,NJ,5,democrat,172587,337701
2016,New Jersey,NJ,6,democrat,167895,263435
2016,New Jersey,NJ,6,republican,91908,263435
2016,New Jersey,NJ,7,republican,185850,343635
2016,New Jersey,NJ,7,democrat,148188,343635
2016,New Jersey,NJ,8,democrat,134733,174889
2016,New Jersey,NJ,8,republican,32337,174889
2016,New Jersey,NJ,9,republican,65376,233242
2016,New Jersey,NJ,9,democrat,162642,233242
2016,New Jersey,NJ,10,republican,26450,222771
2016,New Jersey,NJ,10,democrat,190856,222771
2016,New Jersey,NJ,11,democrat,130162,334992
2016,New Jersey,NJ,11,republican,194299,334992
2016,New Jersey,NJ,12,republican,92407,288634
2016,New Jersey,NJ,12,democrat,181430,288634
