2018,CA,50,D,125448,259810
2016,CA,51,D,145162,199524
2016,CA,51,R,54362,199524
2018,CA,51,D,109527,153828
2018,CA,51,R,44301,153828
2016,CA,52,D,181253,320656
2016,CA,52,R,139403,320656
2018,CA,52,D,188992,296007
2018,CA,52,R,107015,296007
2016,CA,53,D,198988,296956
2016,CA,53,R,97968,296956
2018,CA,53,D,185667,268794
2018,CA,53,R,83127,268794
2016,CO,1,D,257254,379036
2016,CO,1,R,105030,379036
2018,CO,1,D,272886,369715
2018,CO,1,R,85207,369715
2016,CO,2,D,260175,457312
2016,CO,2,R,170001,457312
2018,CO,2,D,259608,430765
2018,CO,2,R,144901,430765
2016,CO,3,R,204220,374037
2016,CO,3,D,150914,374037
2018,CO,3,R,173205,336201
2018,CO,3,D,146426,336201
2016,CO,4,R,248230,390633
2016,CO,4,D,123642,390633
2018,CO,4,R,224038,369621
2018,CO,4,D,145544,369621
2016,CO,5,R,225445,361993
2016,CO,5,D,111676,361993
2018,CO,5,R,184002,322716
2018,CO,5,D,126848,322716
2016,CO,6,R,191626,376417
2016,CO,6,D,160372,376417
2018,CO,6,D,187639,346822
2018,CO,6,R,148685,346822
2016,CO,7,D,199758,362010
2016,CO,7,R,144066,362010
2018,CO,7,D,204260,338067
2018,CO,7,R,119734,338067
2016,CT,1,D,200686,312925
2016,CT,1,R,105674,312925
2018,CT,1,D,175087,274140
2018,CT,1,R,96024,274140
2016,CT,2,D,208818,330257
2016,CT,2,R,111149,330257
2018,CT,2,D,179731,289114
2018,CT,2,R,102483,289114
2016,CT,3,D,213572,309379
2016,CT,3,R,95786,309379
2018,CT,3,D,144452,154277
2018,CT,3,R,9825,154277
2016,CT,4,D,187811,313540
2016,CT,4,R,125724,313540
2018,CT,4,D,168726,275651
2018,CT,4,R,106921,275651
2016,CT,5,D,179252,309082
2016,CT,5,R,129801,309082
2018,CT,5,D,151225,270664
2018,CT,5,R,119426,270664
2016,DE,0,D,233554,420617
2016,DE,0,R,172301,420617
2018,DE,0,D,227353,352737
2018,DE,0,R,125384,352737
2016,FL,1,R,255107,369186
2016,FL,1,D,114079,369186
2018,FL,1,R,216189,322388
2018,FL,1,D,106199,322388
2016,FL,2,R,231163,343362
2016,FL,2,D,102801,343362
2018,FL,2,R,199335,295568
2018,FL,2,D,96233,295568
2016,FL,3,R,193843,342700
2016,FL,3,D,136338,342700
2018,FL,3,R,176616,306496
2018,FL,3,D,129880,306496
2016,FL,4,R,287509,409662
2016,FL,4,D,113088,409662
2018,FL,4,R,248420,381249
2018,FL,4,D,123351,381249
2016,FL,5,D,194549,302874
2016,FL,5,R,108325,302874
2018,FL,5,D,180527,270326
2018,FL,5,R,89799,270326
2016,FL,6,R,213519,364570
2016,FL,6,D,151051,364570
2018,FL,6,R,187891,333649
2018,FL,6,D,145758,333649
2016,FL,7,D,182039,353655
2016,FL,7,R,171583,353655
2018,FL,7,D,183113,317398
2018,FL,7,R,134285,317398
2016,FL,8,R,246483,390561
2016,FL,8,D,127127,390561
2018,FL,8,R,218112,360527
2018,FL,8,D,142415,360527
2016,FL,9,D,195311,339761
2016,FL,9,R,144450,339761
2018,FL,9,D,172172,296737
2018,FL,9,R,124565,296737
2016,FL,10,D,198491,305989
2016,FL,10,R,107498,305989
2018,FL,10,D,1,1
2016,FL,11,R,258016,394719
2016,FL,11,D,124713,394719
2018,FL,11,R,239395,367506
2018,FL,11,D,128053,367506
2016,FL,12,R,253559,369669
2016,FL,12,D,116110,369669
2018,FL,12,R,194564,334918
2018,FL,12,D,132844,334918
2016,FL,13,D,184693,355842
2016,FL,13,R,171149,355842
2018,FL,13,D,182717,316971
2018,FL,13,R,134254,316971
2016,FL,14,D,195789,316877
2016,FL,14,R,121088,316877
2018,FL,14,D,1,1
2016,FL,15,R,182999,318474
2016,FL,15,D,135475,318474
2018,FL,15,R,151380,285532
2018,FL,15,D,134132,285532
2016,FL,16,R,230654,385916
2016,FL,16,D,155262,385916
2018,FL,16,R,197483,361946
2018,FL,16,D,164463,361946
2016,FL,17,R,209348,338675
2016,FL,17,D,115974,338675
2018,FL,17,R,193326,310520
2018,FL,17,D,117194,310520
2016,FL,18,R,201488,375918
2016,FL,18,D,161918,375918
2018,FL,18,R,185905,342359
2018,FL,18,D,156454,342359
2016,FL,19,R,239225,363166
2016,FL,19,D,123812,363166
2018,FL,19,R,211465,339607
2018,FL,19,D,128106,339607
2016,FL,20,D,222914,277560
2016,FL,20,R,54646,277560
2018,FL,20,D,202659,202824
2016,FL,21,D,210606,335861
2016,FL,21,R,118038,335861
2018,FL,21,D,1,1
2016,FL,22,D,199113,337850
2016,FL,22,R,138737,337850
2018,FL,22,D,184634,297683
2018,FL,22,R,113049,297683
2016,FL,23,D,183225,323120
2016,FL,23,R,130818,323120
2018,FL,23,D,161611,276366
2018,FL,23,R,99446,276366
2016,FL,24,D,1,1
2018,FL,24,D,1,1
2016,FL,25,R,157921,253240
2016,FL,25,D,95319,253240
2018,FL,25,R,128672,212845
2018,FL,25,D,84173,212845
2016,FL,26,R,148547,280542
2016,FL,26,D,115493,280542
2018,FL,26,D,119797,235475
2018,FL,26,R,115678,235475
2016,FL,27,R,157917,287677
2016,FL,27,D,129760,287677
2018,FL,27,D,130743,252586
2018,FL,27,R,115588,252586
2016,GA,1,R,210243,211112
2018,GA,1,R,144741,250683
2018,GA,1,D,105942,250683
2016,GA,2,D,148543,242599
2016,GA,2,R,94056,242599
2018,GA,2,D,136699,229171
2018,GA,2,R,92472,229171
2016,GA,3,R,207218,303187
2016,GA,3,D,95969,303187
2018,GA,3,R,191996,293006
2018,GA,3,D,101010,293006
2016,GA,4,D,220146,290739
2016,GA,4,R,70593,290739
2018,GA,4,D,227717,288809
2018,GA,4,R,61092,288809
2016,GA,5,D,253781,300549
2016,GA,5,R,46768,300549
2018,GA,5,D,275406,275406
2016,GA,6,R,201088,326005
2016,GA,6,D,124917,326005
2018,GA,6,D,160139,317032
2018,GA,6,R,156875,317032
2016,GA,7,R,174081,288301
2016,GA,7,D,114220,288301
2018,GA,7,R,140443,280453
2018,GA,7,D,140010,280453
2016,GA,8,R,173983,257208
2016,GA,8,D,83225,257208
2018,GA,8,R,198152,198716
2016,GA,9,R,256535,256535
2018,GA,9,R,224661,282582
2018,GA,9,D,57912,282582
2016,GA,10,R,243725,243725
2018,GA,10,R,190396,302735
2018,GA,10,D,112339,302735
2016,GA,11,R,217935,323318
2016,GA,11,D,105383,323318
2018,GA,11,R,191887,310540
2018,GA,11,D,118653,310540
2016,GA,12,R,159492,258912
